	UMAP1	UMAP2
293T_TFF1_DNA_Pool-1_1D:O7:L7:03	-0.6895223	10.686571
293T_TFF1_DNA_Pool-1_1D:O7:X8:12	0.38427374	9.061506
293T_TFF1_DNA_Pool-1_1D:P5:A4:12	0.41186094	7.2791905
293T_TFF1_DNA_Pool-1_1D:P5:Y2:07	-2.5423346	7.803444
293T_TFF1_DNA_Pool-1_1D:P6:61:07	-2.04516	6.145456
293T_TFF1_DNA_Pool-1_1D:Q0:N7:03	-2.1788328	7.488307
293T_TFF1_DNA_Pool-1_1D:Q0:X4:12	1.5339806	8.1292925
293T_TFF1_DNA_Pool-1_1D:Q3:F2:07	-1.8090096	10.954408
293T_TFF1_DNA_Pool-1_1D:Q3:Y2:02	0.3615761	10.433808
293T_TFF1_DNA_Pool-1_1D:Q8:Y2:02	-2.8925183	7.340874
293T_TFF1_DNA_Pool-1_1D:R1:54:03	2.3811057	8.670006
293T_TFF1_DNA_Pool-1_1D:R1:76:07	1.6165764	7.5167375
293T_TFF1_DNA_Pool-1_1D:R6:0N:04	0.5301239	7.4256635
293T_TFF1_DNA_Pool-1_1D:R6:Y2:02	-2.1154945	7.3237934
293T_TFF1_DNA_Pool-1_1D:R9:F3:03	-1.2430279	9.487033
293T_TFF1_DNA_Pool-1_1D:R9:T4:07	2.5192626	8.257618
293T_TFF1_DNA_Pool-1_1D:S0:84:07	1.2857338	9.363868
293T_TFF1_DNA_Pool-1_1D:S3:F3:07	0.3245112	8.740924
293T_TFF1_DNA_Pool-1_1D:S3:S6:12	-0.3001723	7.1742773
293T_TFF1_DNA_Pool-1_1D:S7:0R:07	0.42298904	7.672514
293T_TFF1_DNA_Pool-1_1D:S7:54:03	-0.37015745	8.2961645
293T_TFF1_DNA_Pool-1_1D:S7:A4:07	-0.6083807	7.0331345
293T_TFF1_DNA_Pool-1_1D:S7:A6:01	0.5664757	5.8206143
293T_TFF1_DNA_Pool-1_1D:S7:B8:07	-3.1625924	8.630494
293T_TFF1_DNA_Pool-1_1D:S7:G1:03	1.8886846	8.872569
293T_TFF1_DNA_Pool-1_1D:S7:G2:11	-0.8232172	9.307816
293T_TFF1_DNA_Pool-1_1D:S7:G8:01	0.20669466	9.325306
293T_TFF1_DNA_Pool-1_1D:S7:Y2:12	0.4360399	8.047185
293T_TFF1_DNA_Pool-1_1D:S8:09:07	0.5206226	7.9244576
293T_TFF1_DNA_Pool-1_1D:S8:54:07	1.666473	9.406652
293T_TFF1_DNA_Pool-1_1D:S8:B6:07	-0.86301535	9.66862
293T_TFF1_DNA_Pool-1_1D:S8:Q5:07	-0.6728032	9.07945
293T_TFF1_DNA_Pool-1_1D:S8:R4:07	0.26517528	7.3596816
293T_TFF1_DNA_Pool-1_1D:T1:Q8:07	0.04034272	9.591184
293T_TFF1_DNA_Pool-1_1D:T1:R4:07	-1.1851664	8.636964
293T_TFF1_DNA_Pool-1_1D:U3:M1:01	-1.8064224	9.010595
293T_TFF1_DNA_Pool-1_1D:U3:Y2:02	-0.43856013	9.455353
293T_TFF1_DNA_Pool-1_1D:U4:0R:07	-1.2950028	8.996092
