barcode	raw	cisTopic	FITS	scOpen	MAGIC	PUscOpen	cicero	scbasset	scbasset_puscopen	scbasset_cistopic	scbasset_cistopic_puscopen
293T_TFF1_DNA_Pool-1_1D:95:76:07	50	2478.23	2.06416e+06	743454	758081	0	58.3446	50	0	117	126
293T_TFF1_DNA_Pool-1_1D:95:78:03	32	2004.78	0	824589	57323.6	123244	34.8892	32	0	90	98
293T_TFF1_DNA_Pool-1_1D:95:97:04	82	11833.1	0	853040	830269	754107	94.1335	82	1.23934e+06	415	450
293T_TFF1_DNA_Pool-1_1D:95:F2:12	80	23527.4	0	1.50599e+06	873974	2.94917e+06	93.3734	80	230126	583	641
293T_TFF1_DNA_Pool-1_1D:95:F8:12	55	1618.69	0	1.03254e+06	268729	7.16237e+06	65.1581	55	1.04373e+07	98	104
293T_TFF1_DNA_Pool-1_1D:95:G8:07	171	2256.31	0	1.86041e+06	1.36865e+06	1.47102e+06	215.529	171	1.90017e+06	230	253
293T_TFF1_DNA_Pool-1_1D:95:L0:07	35	1552.06	1.70842e+06	625613	783762	0	41.8965	35	112083	74	79
293T_TFF1_DNA_Pool-1_1D:95:Q5:12	276	2856.72	1.30656e+06	2.13357e+06	3.25559e+06	2.3118e+06	322.084	276	4.02677e+06	349	371
293T_TFF1_DNA_Pool-1_1D:95:R4:07	41	1801.08	0	684546	704141	894405	45.9868	41	240217	91	97
293T_TFF1_DNA_Pool-1_1D:99:B6:12	42	1333.6	2.2755e+06	699994	771016	243940	48.1117	42	707894	79	83
293T_TFF1_DNA_Pool-1_1D:99:Q8:07	186	1945.65	0	1.48505e+06	1.72288e+06	84523.2	205.999	186	308637	233	240
293T_TFF1_DNA_Pool-1_1D:A3:54:07	25	1547.24	208267	487186	689408	776224	30.4669	25	1.97587e+06	63	69
293T_TFF1_DNA_Pool-1_1D:A3:W0:03	54	4849.34	2.39406e+06	1.86314e+06	827314	7.38956e+06	67.6856	54	1.01299e+07	186	202
293T_TFF1_DNA_Pool-1_1D:A4:90:03	30	3077.23	0	753891	782074	881522	34.3679	30	6.28863e+06	111	126
293T_TFF1_DNA_Pool-1_1D:A7:90:12	25	5600.44	0	433211	661160	0	28.4112	25	0	164	184
293T_TFF1_DNA_Pool-1_1D:A7:P8:12	20	2444.08	0	632125	772799	1.42482e+07	23.3011	20	1.96816e+07	86	97
293T_TFF1_DNA_Pool-1_1D:A7:X8:07	59	3726.36	0	583731	756485	86916.1	64.1606	59	0	154	171
293T_TFF1_DNA_Pool-1_1D:A8:X4:12	83	1356.46	0	1.52618e+06	1.09166e+06	554278	100.888	83	379478	119	127
293T_TFF1_DNA_Pool-1_1D:B1:G4:07	35	1197.44	1.83054e+06	646968	553631	372789	43.3561	35	533136	67	71
293T_TFF1_DNA_Pool-1_1D:B1:Z3:07	60	3324.93	1.08864e+06	954454	866037	294477	69.4514	60	237511	146	157
293T_TFF1_DNA_Pool-1_1D:B2:F2:07	72	1446.45	1.65607e+06	1.32664e+06	817720	426762	85.0405	72	325114	110	123
293T_TFF1_DNA_Pool-1_1D:B5:02:07	25	1952.17	0	514164	669247	0	30.0982	25	0	76	80
